timestamp,process_id,event_type,event_details
2025-03-01 09:00:00,100,process_start,Executable: C:/Windows/System32/explorer.exe | User: SYSTEM
2025-03-01 09:00:00,200,process_start,Executable: C:/Program Files/MyBrowser/browser.exe | User: admin
2025-03-01 09:00:01,5914,file,Operation: read | File: C:/Users/JohnDoe/Desktop/data.csv | User: user1
2025-03-01 09:00:03,2022,process_start,Executable: C:/Users/JohnDoe/AppData/Local/Programs/notepad.exe | User: johndoe
2025-03-01 09:00:04,4765,file,Operation: read | File: C:/Program Files/Common Files/readme.txt | User: user1
2025-03-01 09:00:04,5076,file,Operation: read | File: C:/Windows/System32/image.png | User: janedoe
2025-03-01 09:00:04,4666,file,Operation: write | File: C:/Windows/System32/readme.txt | User: user1
2025-03-01 09:00:05,8491,network,SrcIP: 164.75.142.68:36059 → DstIP: 70.26.127.107:80 | User: johndoe
2025-03-01 09:00:05,5308,file,Operation: read | File: C:/Users/JohnDoe/Documents/report.docx | User: johndoe
2025-03-01 09:00:06,7996,file,Operation: write | File: C:/Windows/System32/log.txt | User: user1
2025-03-01 09:00:07,2279,network,SrcIP: 116.48.131.10:7282 → DstIP: 226.31.30.191:80 | User: admin
2025-03-01 09:00:08,8414,process_start,Executable: C:/Windows/System32/calc.exe | User: johndoe
2025-03-01 09:00:11,9129,network,SrcIP: 138.117.196.42:16437 → DstIP: 149.215.112.44:443 | User: user1
2025-03-01 09:00:11,1878,file,Operation: read | File: C:/Windows/System32/log.txt | User: user1
2025-03-01 09:00:11,5526,registry,Operation: create | Key: HKEY_CURRENT_USER\SOFTWARE/Microsoft/Office/16.0 | User: janedoe
2025-03-01 09:00:11,200,file,Operation: write | File: C:/Users/Admin/Downloads/image_resizer.exe | User: admin
2025-03-01 09:00:12,9026,network,SrcIP: 62.184.204.193:53863 → DstIP: 157.29.182.169:80 | User: janedoe
2025-03-01 09:00:12,7041,registry,Operation: delete | Key: HKEY_LOCAL_MACHINE\SOFTWARE/Adobe/Acrobat Reader | User: janedoe
2025-03-01 09:00:13,5192,file,Operation: read | File: C:/Users/JohnDoe/Documents/readme.txt | User: admin
2025-03-01 09:00:13,7505,file,Operation: read | File: C:/Program Files/image.png | User: user1
2025-03-01 09:00:15,5839,registry,Operation: create | Key: HKEY_CURRENT_USER\SOFTWARE/Microsoft/Office/16.0 | User: admin
2025-03-01 09:00:15,7150,file,Operation: write | File: C:/Users/JohnDoe/Desktop/config.ini | User: janedoe
2025-03-01 09:00:15,5664,registry,Operation: modify | Key: HKEY_LOCAL_MACHINE\SOFTWARE/Oracle/Java | User: janedoe
2025-03-01 09:00:16,8526,process_start,Executable: C:/Users/JohnDoe/AppData/Local/Programs/chrome.exe | User: admin
2025-03-01 09:00:17,2022,file,Operation: write | File: C:/Users/JohnDoe/Documents/image.png | User: user1
2025-03-01 09:00:17,4082,registry,Operation: delete | Key: HKEY_LOCAL_MACHINE\SOFTWARE/Google/Chrome | User: user1
2025-03-01 09:00:17,9702,network,SrcIP: nan:11164 → DstIP: 86.69.240.100:80 | User: admin
2025-03-01 09:00:17,5458,registry,Operation: create | Key: HKEY_LOCAL_MACHINE\SOFTWARE/Microsoft/Windows NT/CurrentVersion | User: johndoe
